surface,chambres,sdb,etage,location,prix
147 m²,3 chambres,3 sdbs,Étage 7,"Hay Riad, Rabat",3 700 000
Not Specified,2 chambres,Not Specified,Étage 2,"Agdal, Rabat",Not Specified
Not Specified,2 chambres,Not Specified,Étage 1,"Aakkari, Rabat",Not Specified
697 m²,4 chambres,4 sdbs,Étage 5,"Autre secteur, Rabat",10 294 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 480 000
97 m²,2 chambres,1 sdb,Étage 1,"Médina de Rabat, Rabat",1 850 000
152 m²,2 chambres,2 sdbs,Étage 1,"Agdal, Rabat",2 500 000
30 m²,1 chambre,2 sdbs,Étage 3,"Agdal, Rabat",800 000
56 m²,1 chambre,1 sdb,Étage 4,"Kébibat, Rabat",1 000 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 995 000
90 m²,3 chambres,2 sdbs,Étage 3,"Hassan, Rabat",Not Specified
85 m²,2 chambres,2 sdbs,Rez de chaussée,"Mabella, Rabat",Not Specified
Not Specified,4 chambres,Not Specified,Rez de chaussée,"Agdal, Rabat",4 400 000
Not Specified,3 chambres,Not Specified,Étage 7,"Hay Riad, Rabat",3 550 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,9 900
87 m²,2 chambres,1 sdb,Étage 2,"Yacoub El Mansour, Rabat",1 080 000
202 m²,3 chambres,1 sdb,Rez de chaussée,"Hay Riad, Rabat",4 560 000
63 m²,2 chambres,2 sdbs,Étage 2,"Agdal, Rabat",1 800 000
37 m²,1 chambre,1 sdb,Étage 4,"Agdal, Rabat",1 300 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,Not Specified
332 m²,5 chambres,2 sdbs,Rez de chaussée,"Agdal, Rabat",5 200 000
50 m²,4 chambres,2 sdbs,Étage 3,"Yacoub El Mansour, Rabat",540 000
70 m²,1 chambre,1 sdb,Étage 3,"Hassan, Rabat",1 600 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 075 000
107 m²,4 chambres,2 sdbs,Étage 2,"Rabat, Hay Riad",1 150 000
156 m²,3 chambres,2 sdbs,Étage 4,"Rabat, Souissi",6 600 000
171 m²,3 chambres,2 sdbs,Étage 4,"Rabat, Hay Riad",5 500 000
123 m²,3 chambres,2 sdbs,Étage 3,"Autre secteur, Rabat",1 950 000
159 m²,2 chambres,2 sdbs,Rez de chaussée,"Agdal, Rabat",2 500 000
37 m²,1 chambre,1 sdb,Étage 3,"Agdal, Rabat",1 200 000
110 m²,2 chambres,1 sdb,Rez de chaussée,"Yacoub El Mansour, Rabat",1 300 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2 460 000
170 m²,3 chambres,3 sdbs,Étage 3,"Yacoub El Mansour, Rabat",3 400 000
42 m²,2 chambres,1 sdb,Étage 4,"Quartier de l'Océan, Rabat",1 050 000
Not Specified,Not Specified,Not Specified,Not Specified,"Hay Riad, Rabat",5 000 000
94 m²,2 chambres,2 sdbs,Étage 1,"Hay Riad, Rabat",2 800 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,9 900
68 m²,1 chambre,0 sdb,Étage 2,"Médina de Rabat, Rabat",100 000 000
45 m²,1 chambre,1 sdb,Rez de chaussée,"Hassan, Rabat",Not Specified
Not Specified,2 chambres,0 sdb,Étage 4,"Médina de Rabat, Rabat",1 600 000
129 m²,3 chambres,2 sdbs,Étage 6,"Agdal, Rabat",2 838 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,235 000
125 m²,3 chambres,2 sdbs,Étage 4,"Diour Jamaa, Rabat",1 350 000
98 m²,2 chambres,2 sdbs,Étage 1,"Hay Riad, Rabat",2 800 000
121 m²,2 chambres,2 sdbs,Rez de chaussée,"Hay Riad, Rabat",2 500 000
81 m²,1 chambre,2 sdbs,Étage 2,"El Youssoufia, Rabat",1 300 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,670 000
175 m²,3 chambres,3 sdbs,Étage 2,"Agdal, Rabat",3 350 000
Not Specified,2 chambres,1 sdb,Étage 2,"Yacoub El Mansour, Rabat",26 000 000
Not Specified,Not Specified,Not Specified,Not Specified,Rabat,2 000
70 m²,2 chambres,Not Specified,Rez de chaussée,"Autre secteur, Rabat",710 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 400 000
84 m²,2 chambres,1 sdb,Étage 1,"Yacoub El Mansour, Rabat",1 700 000
130 m²,3 chambres,2 sdbs,Étage 3,"Agdal, Rabat",3 250 000
78 m²,2 chambres,2 sdbs,Étage 3,"Hay Riad, Rabat",2 600 000
75 m²,2 chambres,2 sdbs,Étage 4,"Diour Jamaa, Rabat",1 500 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,430 000
118 m²,3 chambres,2 sdbs,Étage 3,"Diour Jamaa, Rabat",1 300 000
83 m²,2 chambres,1 sdb,Rez de chaussée,"Hay Nahda, Rabat",790 000
135 m²,3 chambres,2 sdbs,Étage 3,"Haut Agdal, Rabat",Not Specified
121 m²,2 chambres,2 sdbs,Rez de chaussée,"Hay Riad, Rabat",2 490 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,3 700 000
Not Specified,Not Specified,Not Specified,Not Specified,Rabat,165
99 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Rabat",9 000
243 m²,3 chambres,2 sdbs,Rez de chaussée,"Haut Agdal, Rabat",3 500 000
Not Specified,3 chambres,3 sdbs,Étage 2,"Guich Oudaya, Rabat",1 750 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 745 000
82 m²,1 chambre,2 sdbs,Étage 2,"Médina de Rabat, Rabat",450
100 m²,2 chambres,1 sdb,Étage 3,"Agdal, Rabat",1 800 000
150 m²,3 chambres,3 sdbs,Étage 2,"Guich Oudaya, Rabat",1 200 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,3 700 000
Not Specified,4 chambres,4 sdbs,Étage 1,"Rabat, Hay Riad",8 000 000
Not Specified,1 chambre,Not Specified,Étage 6,"Rabat, Hay Riad",Not Specified
107 m²,4 chambres,2 sdbs,Étage 2,"Rabat, Hay Riad",1 150 000
93 m²,3 chambres,1 sdb,Étage 4,"Agdal, Rabat",Not Specified
290 m²,4 chambres,2 sdbs,Étage 1,"Haut Agdal, Rabat",5 300 000
78 m²,2 chambres,2 sdbs,Étage 3,"Hay el Fath, Rabat",1 300 000
84 m²,3 chambres,2 sdbs,Étage 1,"Diour Jamaa, Rabat",1 500 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2 370 000
Not Specified,4 chambres,Not Specified,Rez de chaussée,"Yacoub El Mansour, Rabat",1 100 000
132 m²,2 chambres,2 sdbs,Rez de chaussée,"Guich Oudaya, Rabat",2 120 000
120 m²,2 chambres,1 sdb,Étage 1,"Hay el Fath, Rabat",185 000 000
Not Specified,2 chambres,Not Specified,Étage 4,"Hassan, Rabat",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,750 000
152 m²,2 chambres,2 sdbs,Étage 6,"Médina de Rabat, Rabat",2 300 000
Not Specified,2 chambres,1 sdb,Étage 4,"Agdal, Rabat",Not Specified
156 m²,3 chambres,3 sdbs,Not Specified,"Souissi, Rabat",7 500 000
Not Specified,3 chambres,2 sdbs,Rez de chaussée,"Autre secteur, Rabat",2 600 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2 680 000
60 m²,2 chambres,Not Specified,Étage 3,"Hay el Fath, Rabat",900 000
145 m²,3 chambres,3 sdbs,Étage 10,"Hay Riad, Rabat",4 000 000
93 m²,2 chambres,2 sdbs,Étage 2,"Hassan, Rabat",2 150 000
154 m²,2 chambres,2 sdbs,Rez de chaussée,"Autre secteur, Rabat",1 950 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,589 050
118 m²,3 chambres,1 sdb,Étage 3,"Diour Jamaa, Rabat",2 050 000
