surface,chambres,sdb,etage,location,prix
90 m²,3 chambres,2 sdbs,Étage 3,"El Haddada, Kénitra",68
Not Specified,2 chambres,Not Specified,Étage 4,"El Haddada, Kénitra",Not Specified
100 m²,3 chambres,2 sdbs,Étage 1,"Ouled Oujih, Kénitra",720 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 140 000
Not Specified,2 chambres,1 sdb,Étage 2,"Saknia, Kénitra",Not Specified
203 m²,3 chambres,3 sdbs,Étage 6,"Mimosas, Kénitra",1 770 000
90 m²,3 chambres,2 sdbs,Étage 2,"Bir Rami, Kénitra",490 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,360 000
164 m²,4 chambres,2 sdbs,Étage 4,"Kénitra, Maamora",1 500 000
Not Specified,2 chambres,2 sdbs,Rez de chaussée,"Kénitra, Autre secteur",Not Specified
170 m²,3 chambres,2 sdbs,Étage 1,"Kénitra, Centre",1 460 000
68 m²,2 chambres,2 sdbs,Étage 1,"Bir Rami, Kénitra",470 000
70 m²,1 chambre,1 sdb,Étage 2,"La Ville Haute, Kénitra",5
80 m²,3 chambres,2 sdbs,Étage 1,"Bir Rami, Kénitra",600 000
Not Specified,2 chambres,1 sdb,Étage 4,"alliance, Kénitra",180 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 745 000
91 m²,3 chambres,2 sdbs,Étage 2,"La Ville Haute, Kénitra",960 000
100 m²,3 chambres,2 sdbs,Étage 1,"Bir Rami Est, Kénitra",540 000
138 m²,3 chambres,2 sdbs,Étage 1,"Maamora, Kénitra",1 300 000
Not Specified,1 chambre,1 sdb,Étage 1,"Centre, Kénitra",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 395 000
