surface,chambres,sdb,etage,location,prix
Not Specified,2 chambres,2 sdbs,Rez de chaussée,"Riad Salam, Agadir",1 300 000
62 m²,2 chambres,1 sdb,Étage 4,"Hay Mohammadi, Agadir",650 000
Not Specified,2 chambres,2 sdbs,Étage 4,"Tilila, Agadir",700 000
Not Specified,2 chambres,2 sdbs,Étage 1,"El Houda, Agadir",Not Specified
Not Specified,1 chambre,1 sdb,Étage 6,"Centre Ville, Agadir",1 600 000
112 m²,2 chambres,1 sdb,Étage 2,"Centre Ville, Agadir",2 800 000
Not Specified,2 chambres,Not Specified,Étage 2,"Abattoirs, Agadir",2 500 000
77 m²,2 chambres,1 sdb,Étage 1,"Hay Mohammadi, Agadir",860 000
78 m²,2 chambres,1 sdb,Étage 1,"Autre secteur, Agadir",Not Specified
Not Specified,2 chambres,Not Specified,Étage 1,"Hay Salam, Agadir",Not Specified
96 m²,3 chambres,2 sdbs,Étage 3,"El Houda, Agadir",Not Specified
Not Specified,2 chambres,2 sdbs,Étage 5,"Anza, Agadir",760 000
207 m²,2 chambres,2 sdbs,Étage 1,"Founty, Agadir",2 350 000
Not Specified,2 chambres,1 sdb,Étage 3,"Hay Mohammadi, Agadir",Not Specified
Not Specified,2 chambres,2 sdbs,Étage 3,"Hay Dakhla, Agadir",760 000
66 m²,2 chambres,1 sdb,Étage 4,"Agadir, Hay Salam",920 000
Not Specified,2 chambres,1 sdb,Étage 2,"Agadir, Abattoirs",598 500
112 m²,3 chambres,2 sdbs,Étage 4,"Agadir, Sonaba",2 600 000
54 m²,2 chambres,1 sdb,Étage 3,"Haut Anza, Agadir",430 000
Not Specified,4 chambres,Not Specified,Étage 4,"Marina, Agadir",5 000 000
Not Specified,2 chambres,1 sdb,Étage 3,"Cité Adrar, Agadir",480 000
Not Specified,2 chambres,2 sdbs,Étage 1,"Hay Mohammadi, Agadir",Not Specified
88 m²,3 chambres,2 sdbs,Étage 4,"Hay Dakhla, Agadir",980 000
55 m²,2 chambres,1 sdb,Étage 1,"Taddart Anza, Agadir",410 000
50 m²,2 chambres,1 sdb,Étage 3,"Hay Salam, Agadir",540 000
109 m²,2 chambres,2 sdbs,Étage 4,"Hay Mohammadi, Agadir",1 250 000
64 m²,2 chambres,2 sdbs,Rez de chaussée,"Haut-Founty, Agadir",995 000
Not Specified,2 chambres,Not Specified,Étage 4,"Hay Salam, Agadir",640 000
55 m²,2 chambres,1 sdb,Étage 2,"Haut Anza, Agadir",360 000
116 m²,3 chambres,3 sdbs,Étage 2,"Hay Mohammadi, Agadir",1 270 000
110 m²,2 chambres,2 sdbs,Étage 2,"El Houda, Agadir",Not Specified
54 m²,2 chambres,1 sdb,Étage 4,"Autre secteur, Agadir",440 000
55 m²,1 chambre,1 sdb,Étage 7,"Hay Mohammadi, Agadir",Not Specified
Not Specified,2 chambres,2 sdbs,Étage 3,"Autre secteur, Agadir",650 000
50 m²,3 chambres,1 sdb,Étage 3,"Hay Mohammadi, Agadir",510 000
47 m²,1 chambre,Not Specified,Étage 4,"Haut Anza, Agadir",520 000
47 m²,1 chambre,1 sdb,Étage 1,"Haut Anza, Agadir",595 000
Not Specified,2 chambres,1 sdb,Étage 4,"Av des Far, Agadir",1 060 000
90 m²,2 chambres,2 sdbs,Étage 2,"Haut Anza, Agadir",875 000
79 m²,3 chambres,1 sdb,Étage 4,"Founty, Agadir",1 520 000
50 m²,2 chambres,1 sdb,Étage 3,"Autre secteur, Agadir",500 000
60 m²,2 chambres,1 sdb,Étage 1,"Hay Mohammadi, Agadir",630 000
Not Specified,1 chambre,1 sdb,Étage 9,"Hay Mohammadi, Agadir",570 000
54 m²,2 chambres,1 sdb,Étage 3,"Hay Mohammadi, Agadir",90
Not Specified,Not Specified,Not Specified,Not Specified,"Talborjt, Agadir",Not Specified
70 m²,1 chambre,1 sdb,Étage 3,"Hay Mohammadi, Agadir",700
50 m²,2 chambres,1 sdb,Étage 1,"Hay Mohammadi, Agadir",540 000
Not Specified,2 chambres,1 sdb,Étage 1,"Hay Mohammadi, Agadir",600 000
90 m²,2 chambres,1 sdb,Étage 2,"Sonaba, Agadir",Not Specified
Not Specified,2 chambres,2 sdbs,Étage 3,"Hay Mohammadi, Agadir",Not Specified
Not Specified,2 chambres,2 sdbs,Étage 3,"Tilila, Agadir",Not Specified
Not Specified,3 chambres,2 sdbs,Étage 2,"Hay Mohammadi, Agadir",1 100 000
80 m²,4 chambres,1 sdb,Étage 1,Agadir,700 000
71 m²,2 chambres,2 sdbs,Rez de chaussée,"Agadir, El Houda",840 000
66 m²,2 chambres,1 sdb,Étage 4,"Agadir, Hay Salam",920 000
Not Specified,2 chambres,1 sdb,Étage 2,"Agadir, Abattoirs",598 500
77 m²,1 chambre,2 sdbs,Étage 1,"Ben Serguaou, Agadir",700 000
53 m²,2 chambres,1 sdb,Étage 1,"Tassila, Agadir",100
Not Specified,3 chambres,2 sdbs,Étage 3,"Hay Mohammadi, Agadir",1 700 000
98 m²,2 chambres,2 sdbs,Étage 4,"Hay Mohammadi, Agadir",1 300 000
155 m²,3 chambres,2 sdbs,Étage 1,"El Houda, Agadir",2 200 000
70 m²,2 chambres,2 sdbs,Étage 4,"Centre Ville, Agadir",520 000
150 m²,2 chambres,2 sdbs,Not Specified,"Hay Mohammadi, Agadir",5 500 000
69 m²,2 chambres,1 sdb,Étage 4,"Hay Mohammadi, Agadir",740 000
Not Specified,2 chambres,1 sdb,Étage 3,"Hay Salam, Agadir",580 000
60 m²,2 chambres,1 sdb,Étage 2,"Hay Mohammadi, Agadir",Not Specified
50 m²,2 chambres,0 sdb,Étage 4,"Hay Mohammadi, Agadir",530 000
68 m²,1 chambre,1 sdb,Étage 4,"Hay Mohammadi, Agadir",749 000
68 m²,2 chambres,1 sdb,Étage 3,"Hay Salam, Agadir",580 000
120 m²,2 chambres,2 sdbs,Rez de chaussée,"Centre Ville, Agadir",1 900 000
54 m²,2 chambres,1 sdb,Étage 4,"Autre secteur, Agadir",450 000
Not Specified,2 chambres,2 sdbs,Étage 5,"Hay Mohammadi, Agadir",1 250 000
110 m²,3 chambres,2 sdbs,Étage 4,"Abattoirs, Agadir",Not Specified
Not Specified,4 chambres,Not Specified,Rez de chaussée,"Hay Zaytoun, Agadir",800 000
58 m²,2 chambres,1 sdb,Étage 4,"Hay Mohammadi, Agadir",750 000
52 m²,2 chambres,1 sdb,Étage 4,"Hay Mohammadi, Agadir",460 000
52 m²,2 chambres,1 sdb,Étage 1,"Hay Mohammadi, Agadir",550 000
Not Specified,3 chambres,1 sdb,Étage 3,"Autre secteur, Agadir",73
65 m²,2 chambres,2 sdbs,Étage 1,"Hay Salam, Agadir",715 000
Not Specified,2 chambres,2 sdbs,Étage 10,"Hay Mohammadi, Agadir",Not Specified
0 m²,2 chambres,2 sdbs,Étage 1,"Abattoirs, Agadir",Not Specified
89 m²,3 chambres,2 sdbs,Étage 2,"Hay Salam, Agadir",10
110 m²,3 chambres,2 sdbs,Étage 1,"El Houda, Agadir",11 000 000
126 m²,3 chambres,2 sdbs,Étage 3,"Haut-Founty, Agadir",2 280 000
Not Specified,2 chambres,0 sdb,Étage 3,"Hay Mohammadi, Agadir",680 000
Not Specified,1 chambre,1 sdb,Rez de chaussée,"Autre secteur, Agadir",Not Specified
Not Specified,2 chambres,1 sdb,Étage 4,"Tilila, Agadir",450 000
64 m²,2 chambres,1 sdb,Rez de chaussée,"Cité Adrar, Agadir",580 000
52 m²,2 chambres,1 sdb,Étage 1,"Hay Mohammadi, Agadir",540 000
95 m²,2 chambres,1 sdb,Étage 2,"Founty, Agadir",Not Specified
80 m²,2 chambres,2 sdbs,Étage 1,"El Houda, Agadir",1 400 000
112 m²,3 chambres,2 sdbs,Étage 4,"Agadir, Sonaba",2 600 000
71 m²,2 chambres,2 sdbs,Rez de chaussée,"Agadir, El Houda",840 000
Not Specified,2 chambres,1 sdb,Étage 2,"Agadir, Abattoirs",598 500
Not Specified,2 chambres,1 sdb,Étage 4,"Tilila, Agadir",Not Specified
52 m²,2 chambres,1 sdb,Étage 3,"Anza, Agadir",390 000
Not Specified,3 chambres,2 sdbs,Étage 4,"Founty, Agadir",3 100 000
52 m²,2 chambres,1 sdb,Étage 5,"Hay Mohammadi, Agadir",55 000
145 m²,2 chambres,2 sdbs,Rez de chaussée,"Centre Ville, Agadir",1 450 000
264 m²,2 chambres,2 sdbs,Étage 4,"Marina, Agadir",Not Specified
128 m²,3 chambres,2 sdbs,Étage 1,"Hay Salam, Agadir",Not Specified
651 m²,1 chambre,1 sdb,Rez de chaussée,"Autre secteur, Agadir",1 450 000
45 m²,1 chambre,1 sdb,Rez de chaussée,"Hay Mohammadi, Agadir",10 000
56 m²,2 chambres,1 sdb,Étage 1,"Hay Mohammadi, Agadir",Not Specified
54 m²,1 chambre,1 sdb,Étage 2,"Le bord de mer, Agadir",550
146 m²,3 chambres,2 sdbs,Étage 3,"Marina, Agadir",4 800 000
68 m²,2 chambres,1 sdb,Étage 2,"Tamraght, Agadir",1 200 000
125 m²,2 chambres,2 sdbs,Étage 10,"Hay Mohammadi, Agadir",1 250 000
Not Specified,3 chambres,Not Specified,Étage 3,"Autre secteur, Agadir",Not Specified
Not Specified,3 chambres,Not Specified,Étage 3,"Autre secteur, Agadir",Not Specified
100 m²,2 chambres,1 sdb,Étage 1,"Tamraght, Agadir",1 000 000
98 m²,2 chambres,2 sdbs,Étage 2,"Hay Mohammadi, Agadir",1 100 000
63 m²,2 chambres,1 sdb,Étage 1,"Hay Salam, Agadir",730 000
Not Specified,2 chambres,0 sdb,Étage 2,"Autre secteur, Agadir",43
Not Specified,2 chambres,1 sdb,Étage 4,"Cité Adrar, Agadir",570 000
Not Specified,2 chambres,1 sdb,Rez de chaussée,"Tilila, Agadir",620 000
48 m²,2 chambres,1 sdb,Rez de chaussée,"Hay Mohammadi, Agadir",600 000
91 m²,3 chambres,2 sdbs,Étage 4,"Hay Dakhla, Agadir",910 000
105 m²,3 chambres,2 sdbs,Étage 2,"El Houda, Agadir",1 300 000
Not Specified,3 chambres,2 sdbs,Étage 3,"El Houda, Agadir",1 150 000
64 m²,1 chambre,1 sdb,Étage 7,"Hay Mohammadi, Agadir",8 500 000
Not Specified,2 chambres,Not Specified,Étage 4,"Hay Salam, Agadir",500 000
56 m²,2 chambres,2 sdbs,Étage 2,"Hay Salam, Agadir",600 000
75 m²,2 chambres,1 sdb,Étage 2,"Autre secteur, Agadir",750 000
Not Specified,3 chambres,Not Specified,Étage 3,"Autre secteur, Agadir",Not Specified
Not Specified,3 chambres,1 sdb,Étage 3,"Autre secteur, Agadir",Not Specified
