surface,chambres,sdb,etage,location,prix
45 m²,1 chambre,1 sdb,Rez de chaussée,"Marjane, Tanger",580 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 000 000
189 m²,3 chambres,2 sdbs,Étage 7,"Centre ville, Tanger",2 700 000
51 m²,2 chambres,1 sdb,Étage 5,"Mesnana, Tanger",750 000
137 m²,3 chambres,2 sdbs,Étage 2,"Centre, Tanger",2 100 000
80 m²,3 chambres,1 sdb,Rez de chaussée,"Tanja Balia, Tanger",700 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 200 000
142 m²,3 chambres,2 sdbs,Étage 8,"Centre ville, Tanger",2 500 000
58 m²,2 chambres,Not Specified,Étage 2,"Autre secteur, Tanger",510 000
64 m²,2 chambres,1 sdb,Étage 2,"Tanja Balia, Tanger",650 000
64 m²,2 chambres,1 sdb,Étage 3,"Tanja Balia, Tanger",13 500
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,650 000
Not Specified,2 chambres,1 sdb,Étage 1,"Autre secteur, Tanger",490 000
100 m²,2 chambres,1 sdb,Étage 4,"Centre, Tanger",1 500 000
66 m²,2 chambres,2 sdbs,Étage 3,"Centre, Tanger",70 000
125 m²,3 chambres,3 sdbs,Étage 1,"Marjane, Tanger",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,685 000
51 m²,1 chambre,1 sdb,Étage 1,"Centre ville, Tanger",1 300 000
98 m²,3 chambres,2 sdbs,Étage 7,"Marjane, Tanger",1 450 000
180 m²,3 chambres,2 sdbs,Étage 6,"Malabata, Tanger",230 000 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,420 000
76 m²,3 chambres,1 sdb,Étage 3,"Tanger, Centre ville",880 000
112 m²,3 chambres,2 sdbs,Étage 2,"Tanger, Malabata",2 700 000
51 m²,1 chambre,1 sdb,Étage 2,"Tanger, Centre ville",1 300 000
70 m²,2 chambres,1 sdb,Étage 5,"Mesnana, Tanger",580 000
Not Specified,2 chambres,2 sdbs,Rez de chaussée,"Autre secteur, Tanger",3 350 000
58 m²,2 chambres,1 sdb,Étage 6,"Malabata, Tanger",1 600 000
135 m²,3 chambres,2 sdbs,Étage 6,"Malabata, Tanger",2 600 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 000 000
88 m²,2 chambres,2 sdbs,Étage 1,"Malabata, Tanger",2 200 000
90 m²,3 chambres,1 sdb,Étage 1,"Centre ville, Tanger",840 000
100 m²,2 chambres,1 sdb,Rez de chaussée,"Centre ville, Tanger",750 000
57 m²,2 chambres,1 sdb,Étage 2,"Marjane, Tanger",450 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,685 000
81 m²,3 chambres,2 sdbs,Étage 2,"Malabata, Tanger",1 300 000
63 m²,2 chambres,1 sdb,Étage 3,"Malabata, Tanger",1 008 000
52 m²,2 chambres,1 sdb,Étage 2,"Aouama Gharbia, Tanger",280 000
72 m²,3 chambres,1 sdb,Étage 2,"Val Fleuri, Tanger",80
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,800 000
60 m²,2 chambres,1 sdb,Étage 3,"Hay Hassani, Tanger",56
81 m²,2 chambres,2 sdbs,Étage 2,"nouinouich, Tanger",1 800 000
50 m²,2 chambres,1 sdb,Rez de chaussée,"Autre secteur, Tanger",560 000
130 m²,3 chambres,2 sdbs,Étage 1,"Autre secteur, Tanger",2 300 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,350 000
Not Specified,3 chambres,2 sdbs,Étage 2,"Jbel Kbir, Tanger",25 000
105 m²,3 chambres,2 sdbs,Étage 4,"Marjane, Tanger",950 000
55 m²,1 chambre,1 sdb,Étage 4,"Malabata, Tanger",1 500 000
115 m²,2 chambres,1 sdb,Étage 3,"Ziatene, Tanger",110 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,650 000
115 m²,3 chambres,1 sdb,Étage 5,"Centre ville, Tanger",1 350 000
160 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Tanger",6 200
88 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Tanger",792 000
80 m²,2 chambres,2 sdbs,Étage 3,"Tanja Balia, Tanger",1 120 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 000 000
56 m²,2 chambres,1 sdb,Étage 3,"Tanja Balia, Tanger",580 000
58 m²,2 chambres,1 sdb,Étage 1,"Hay Hassani, Tanger",50 000
107 m²,3 chambres,2 sdbs,Étage 2,"Malabata, Tanger",1 390 000
60 m²,1 chambre,1 sdb,Étage 1,"Tanja Balia, Tanger",480 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,650 000
88 m²,2 chambres,2 sdbs,Étage 4,"Tanja Balia, Tanger",660 000
93 m²,3 chambres,1 sdb,Étage 7,"Tanja Balia, Tanger",740 000
50 m²,2 chambres,1 sdb,Étage 4,"la Nouvelle Ville Ibn Battouta, Tanger",360 000
127 m²,3 chambres,2 sdbs,Étage 1,"Du Golf, Tanger",25 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,685 000
90 m²,1 chambre,1 sdb,Étage 3,"De La Plage, Tanger",1 080 000
65 m²,2 chambres,2 sdbs,Étage 1,"Ahlane, Tanger",650 000
70 m²,6 chambres,4 sdbs,Étage 4,"Mesnana, Tanger",95 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 000 000
112 m²,3 chambres,2 sdbs,Étage 2,"Tanger, Malabata",2 700 000
80 m²,2 chambres,1 sdb,Étage 2,"Tanger, Malabata",Not Specified
189 m²,3 chambres,2 sdbs,Étage 7,"Tanger, Centre ville",2 700 000
Not Specified,3 chambres,2 sdbs,Étage 1,"Malabata, Tanger",2 400 000
160 m²,2 chambres,2 sdbs,Étage 5,"Castilla, Tanger",2 200 000
101 m²,3 chambres,2 sdbs,Étage 4,"Du Golf, Tanger",13 000
90 m²,2 chambres,2 sdbs,Étage 3,"Tanja Balia, Tanger",1 260 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 800 000
80 m²,2 chambres,2 sdbs,Étage 2,"Malabata, Tanger",1 120 000
107 m²,3 chambres,2 sdbs,Étage 2,"Malabata, Tanger",1 390 000
56 m²,2 chambres,1 sdb,Étage 3,"Tanja Balia, Tanger",580 000
60 m²,1 chambre,1 sdb,Étage 1,"Tanja Balia, Tanger",480 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,650 000
88 m²,2 chambres,2 sdbs,Étage 4,"Tanja Balia, Tanger",660 000
93 m²,3 chambres,1 sdb,Étage 7,"Tanja Balia, Tanger",740 000
Not Specified,2 chambres,1 sdb,Étage 9,"Autre secteur, Tanger",920 000
55 m²,3 chambres,1 sdb,Étage 3,"Achakar, Tanger",Not Specified
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,650 000
