surface,chambres,sdb,etage,location,prix
Not Specified,3 chambres,2 sdbs,Étage 3,"Hamria, Meknès",1 040 000
55 m²,2 chambres,0 sdb,Étage 4,"Wislane, Meknès",140 000
Not Specified,3 chambres,2 sdbs,Rez de chaussée,"Hamria, Meknès",830 000
134 m²,3 chambres,2 sdbs,Étage 1,"El Bassatine, Meknès",820 000
Not Specified,3 chambres,2 sdbs,Étage 8,"Hamria, Meknès",850 000
Not Specified,3 chambres,2 sdbs,Rez de chaussée,"El Bassatine, Meknès",620 000
Not Specified,3 chambres,2 sdbs,Étage 3,"Marjane 2, Meknès",760 000
60 m²,2 chambres,1 sdb,Étage 1,"El Bassatine, Meknès",260 000
60 m²,2 chambres,1 sdb,Étage 1,"El Bassatine, Meknès",260 000
100 m²,3 chambres,2 sdbs,Rez de chaussée,"Autre secteur, Meknès",640 000
120 m²,3 chambres,2 sdbs,Étage 2,"Hay Salam, Meknès",740 000
64 m²,2 chambres,1 sdb,Étage 7,"El Bassatine, Meknès",340 000
80 m²,3 chambres,2 sdbs,Étage 2,"Autre secteur, Meknès",480 000
55 m²,1 chambre,1 sdb,Étage 3,"Marjane 2, Meknès",240 000
64 m²,2 chambres,1 sdb,Étage 1,"Autre secteur, Meknès",300 000
156 m²,3 chambres,2 sdbs,Étage 4,"Hamria, Meknès",900 000
Not Specified,Not Specified,Not Specified,Not Specified,Meknès,34
100 m²,3 chambres,2 sdbs,Étage 1,"Riad Toulal, Meknès",580 000
