surface,chambres,sdb,etage,location,prix
Not Specified,2 chambres,1 sdb,Étage 3,"Es Saada, Marrakech",450 000
Not Specified,2 chambres,1 sdb,Étage 1,"Mabrouka, Marrakech",470 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 683 000
Not Specified,2 chambres,Not Specified,Étage 2,"Afaq, Marrakech",160 000
72 m²,2 chambres,1 sdb,Rez de chaussée,"Autre secteur, Marrakech",550 000
Not Specified,1 chambre,1 sdb,Étage 3,"Guéliz, Marrakech",1 200 000
185 m²,2 chambres,2 sdbs,Rez de chaussée,"Route d'Ourika, Marrakech",1 900 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 560 000
105 m²,2 chambres,1 sdb,Rez de chaussée,"Av Abdelkrim El Khattabi, Marrakech",1 600 000
Not Specified,2 chambres,1 sdb,Étage 1,"Hay Charaf, Marrakech",1 170 000
94 m²,2 chambres,2 sdbs,Étage 1,"Agdal, Marrakech",2 100 000
125 m²,2 chambres,2 sdbs,Étage 3,"Guéliz, Marrakech",3 600 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,690 000
48 m²,1 chambre,1 sdb,Étage 5,"Centre Ville, Marrakech",630 000
Not Specified,2 chambres,0 sdb,Étage 1,"Autre secteur, Marrakech",650 000
45 m²,1 chambre,1 sdb,Étage 1,"Agdal, Marrakech",1 290 000
275 m²,6 chambres,5 sdbs,Étage 3,"Targa, Marrakech",275
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 870 000
270 m²,6 chambres,5 sdbs,Étage 3,"Targa, Marrakech",275
270 m²,6 chambres,6 sdbs,Étage 3,"Targa, Marrakech",Not Specified
Not Specified,3 chambres,3 sdbs,Rez de chaussée,"Guéliz, Marrakech",5 000 000
84 m²,2 chambres,2 sdbs,Rez de chaussée,"Hay Charaf, Marrakech",1 300 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,560 000
46 m²,1 chambre,1 sdb,Étage 2,"Route de Casablanca, Marrakech",830 000
36 m²,1 chambre,1 sdb,Étage 2,"Semlalia, Marrakech",720 000
54 m²,1 chambre,1 sdb,Rez de chaussée,"Route de Safi, Marrakech",972 000
100 m²,2 chambres,1 sdb,Étage 3,"Issil, Marrakech",1 399 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 189 000
64 m²,2 chambres,0 sdb,Étage 4,"Mabrouka, Marrakech",650 000
166 m²,3 chambres,2 sdbs,Not Specified,"Targa, Marrakech",1 400 000
110 m²,2 chambres,1 sdb,Étage 1,"Guéliz, Marrakech",2 190 000
Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,1 549 600
Not Specified,2 chambres,1 sdb,Rez de chaussée,"Marrakech, Semlalia",1 650 000
